,Date,Category,Category_id,Price,Weight,Indent,Parent,Parent_ID
80401,2017-05-15,Food,3,143.1,5.331384809795948e-16,1.0,All-items,2.0
80701,2017-06-15,Food,3,143.6,5.331384809795948e-16,1.0,All-items,2.0
81001,2017-07-15,Food,3,144.1,5.331384809795948e-16,1.0,All-items,2.0
81301,2017-08-15,Food,3,143.6,5.331384809795948e-16,1.0,All-items,2.0
81601,2017-09-15,Food,3,142.4,5.331384809795948e-16,1.0,All-items,2.0
81901,2017-10-15,Food,3,141.7,5.331384809795948e-16,1.0,All-items,2.0
82201,2017-11-15,Food,3,142.9,5.331384809795948e-16,1.0,All-items,2.0
82501,2017-12-15,Food,3,143.4,5.331384809795948e-16,1.0,All-items,2.0
82801,2018-01-15,Food,3,144.7,5.331384809795948e-16,1.0,All-items,2.0
83101,2018-02-15,Food,3,144.7,5.331384809795948e-16,1.0,All-items,2.0
83401,2018-03-15,Food,3,144.2,5.331384809795948e-16,1.0,All-items,2.0
83701,2018-04-15,Food,3,144.8,5.331384809795948e-16,1.0,All-items,2.0
84001,2018-05-15,Food,3,144.6,5.331384809795948e-16,1.0,All-items,2.0
84301,2018-06-15,Food,3,145.6,5.331384809795948e-16,1.0,All-items,2.0
84601,2018-07-15,Food,3,146.1,5.331384809795948e-16,1.0,All-items,2.0
84901,2018-08-15,Food,3,145.9,5.331384809795948e-16,1.0,All-items,2.0
85201,2018-09-15,Food,3,144.9,5.331384809795948e-16,1.0,All-items,2.0
85501,2018-10-15,Food,3,144.6,5.331384809795948e-16,1.0,All-items,2.0
85801,2018-11-15,Food,3,146.1,5.331384809795948e-16,1.0,All-items,2.0
86101,2018-12-15,Food,3,147.5,5.331384809795948e-16,1.0,All-items,2.0
86401,2019-01-15,Food,3,148.7,5.331384809795948e-16,1.0,All-items,2.0
86701,2019-02-15,Food,3,149.3,5.331384809795948e-16,1.0,All-items,2.0
87001,2019-03-15,Food,3,149.4,5.331384809795948e-16,1.0,All-items,2.0
87301,2019-04-15,Food,3,149,5.331384809795948e-16,1.0,All-items,2.0
87601,2019-05-15,Food,3,149.7,5.331384809795948e-16,1.0,All-items,2.0
87901,2019-06-15,Food,3,150.7,5.331384809795948e-16,1.0,All-items,2.0
88201,2019-07-15,Food,3,151.6,5.331384809795948e-16,1.0,All-items,2.0
88501,2019-08-15,Food,3,151.1,5.331384809795948e-16,1.0,All-items,2.0
88801,2019-09-15,Food,3,150.2,5.331384809795948e-16,1.0,All-items,2.0
89101,2019-10-15,Food,3,149.9,5.331384809795948e-16,1.0,All-items,2.0
89401,2019-11-15,Food,3,151.1,5.331384809795948e-16,1.0,All-items,2.0
89701,2019-12-15,Food,3,151.9,5.331384809795948e-16,1.0,All-items,2.0
90001,2020-01-15,Food,3,153.5,5.331384809795948e-16,1.0,All-items,2.0
90301,2020-02-15,Food,3,152.9,5.331384809795948e-16,1.0,All-items,2.0
90601,2020-03-15,Food,3,152.8,5.331384809795948e-16,1.0,All-items,2.0
90901,2020-04-15,Food,3,154,5.331384809795948e-16,1.0,All-items,2.0
91201,2020-05-15,Food,3,154.3,5.331384809795948e-16,1.0,All-items,2.0
91501,2020-06-15,Food,3,154.8,5.331384809795948e-16,1.0,All-items,2.0
91801,2020-07-15,Food,3,155,5.331384809795948e-16,1.0,All-items,2.0
92101,2020-08-15,Food,3,153.8,5.331384809795948e-16,1.0,All-items,2.0
92401,2020-09-15,Food,3,152.6,5.331384809795948e-16,1.0,All-items,2.0
92701,2020-10-15,Food,3,153.3,5.331384809795948e-16,1.0,All-items,2.0
93001,2020-11-15,Food,3,153.9,5.331384809795948e-16,1.0,All-items,2.0
93301,2020-12-15,Food,3,153.6,5.331384809795948e-16,1.0,All-items,2.0
93601,2021-01-15,Food,3,155,5.331384809795948e-16,1.0,All-items,2.0
93901,2021-02-15,Food,3,155.6,5.331384809795948e-16,1.0,All-items,2.0
94201,2021-03-15,Food,3,155.5,5.331384809795948e-16,1.0,All-items,2.0
94501,2021-04-15,Food,3,155.4,5.331384809795948e-16,1.0,All-items,2.0
94801,2021-05-15,Food,3,156.6,5.331384809795948e-16,1.0,All-items,2.0
95101,2021-06-15,Food,3,156.8,5.331384809795948e-16,1.0,All-items,2.0
95401,2021-07-15,Food,3,157.6,5.331384809795948e-16,1.0,All-items,2.0
95701,2021-08-15,Food,3,158,5.331384809795948e-16,1.0,All-items,2.0
96001,2021-09-15,Food,3,158.5,5.331384809795948e-16,1.0,All-items,2.0
96301,2021-10-15,Food,3,159.2,5.331384809795948e-16,1.0,All-items,2.0
96601,2021-11-15,Food,3,160.7,5.331384809795948e-16,1.0,All-items,2.0
96901,2021-12-15,Food,3,161.6,5.331384809795948e-16,1.0,All-items,2.0
97201,2022-01-15,Food,3,163.9,5.331384809795948e-16,1.0,All-items,2.0
97501,2022-02-15,Food,3,166,5.331384809795948e-16,1.0,All-items,2.0
97801,2022-03-15,Food,3,167.5,5.331384809795948e-16,1.0,All-items,2.0
98101,2022-04-15,Food,3,169,5.331384809795948e-16,1.0,All-items,2.0
98401,2022-05-15,Food,3,170.4,5.331384809795948e-16,1.0,All-items,2.0
98701,2022-06-15,Food,3,170.6,5.331384809795948e-16,1.0,All-items,2.0
99001,2022-07-15,Food,3,172.1,5.331384809795948e-16,1.0,All-items,2.0
99301,2022-08-15,Food,3,173.5,5.331384809795948e-16,1.0,All-items,2.0
99601,2022-09-15,Food,3,174.8,5.331384809795948e-16,1.0,All-items,2.0
99901,2022-10-15,Food,3,175.2,5.331384809795948e-16,1.0,All-items,2.0
100201,2022-11-15,Food,3,177.3,5.331384809795948e-16,1.0,All-items,2.0
100501,2022-12-15,Food,3,177.9,5.331384809795948e-16,1.0,All-items,2.0
100801,2023-01-15,Food,3,181,5.331384809795948e-16,1.0,All-items,2.0
101101,2023-02-15,Food,3,182.1,5.331384809795948e-16,1.0,All-items,2.0
64802,2013-01-15,Food purchased from stores,4,131.3,3.562091674033798e-16,2.0,Food,3.0
65102,2013-02-15,Food purchased from stores,4,133.1,3.562091674033798e-16,2.0,Food,3.0
65402,2013-03-15,Food purchased from stores,4,132.3,3.562091674033798e-16,2.0,Food,3.0
65702,2013-04-15,Food purchased from stores,4,132.3,3.562091674033798e-16,2.0,Food,3.0
66002,2013-05-15,Food purchased from stores,4,132.9,3.562091674033798e-16,2.0,Food,3.0
66302,2013-06-15,Food purchased from stores,4,132.7,3.562091674033798e-16,2.0,Food,3.0
66602,2013-07-15,Food purchased from stores,4,132.8,3.562091674033798e-16,2.0,Food,3.0
66902,2013-08-15,Food purchased from stores,4,133,3.562091674033798e-16,2.0,Food,3.0
67202,2013-09-15,Food purchased from stores,4,131.4,3.562091674033798e-16,2.0,Food,3.0
67502,2013-10-15,Food purchased from stores,4,131.1,3.562091674033798e-16,2.0,Food,3.0
67802,2013-11-15,Food purchased from stores,4,132.7,3.562091674033798e-16,2.0,Food,3.0
68102,2013-12-15,Food purchased from stores,4,132,3.562091674033798e-16,2.0,Food,3.0
68402,2014-01-15,Food purchased from stores,4,132.6,3.562091674033798e-16,2.0,Food,3.0
68702,2014-02-15,Food purchased from stores,4,134.4,3.562091674033798e-16,2.0,Food,3.0
69002,2014-03-15,Food purchased from stores,4,134.6,3.562091674033798e-16,2.0,Food,3.0
69302,2014-04-15,Food purchased from stores,4,134.6,3.562091674033798e-16,2.0,Food,3.0
69602,2014-05-15,Food purchased from stores,4,136.2,3.562091674033798e-16,2.0,Food,3.0
69902,2014-06-15,Food purchased from stores,4,137,3.562091674033798e-16,2.0,Food,3.0
70202,2014-07-15,Food purchased from stores,4,137,3.562091674033798e-16,2.0,Food,3.0
70502,2014-08-15,Food purchased from stores,4,136,3.562091674033798e-16,2.0,Food,3.0
70802,2014-09-15,Food purchased from stores,4,135.3,3.562091674033798e-16,2.0,Food,3.0
71102,2014-10-15,Food purchased from stores,4,135.1,3.562091674033798e-16,2.0,Food,3.0
71402,2014-11-15,Food purchased from stores,4,137.1,3.562091674033798e-16,2.0,Food,3.0
